generations:30,popsPerGen:10000,childrenPerGen:5000,mutationRate:2.000000,strategyLength:15,,,,,,,,,,,,
gen_num,avg_fit,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14
0,0.529624,0.5085,0.5026,0.4967,0.4999,0.5092,0.4984,0.504,0.5054,0.5018,0.4977,0.5041,0.5004,0.4996,0.5036,0.5033
1,0.69205,0.5577,0.5366,0.5258,0.5413,0.5484,0.5427,0.559,0.5527,0.5617,0.5609,0.5714,0.5992,0.5837,0.6312,0.7015
2,0.828841,0.5932,0.5534,0.5599,0.5819,0.5899,0.5727,0.6043,0.5924,0.6166,0.6014,0.6224,0.6685,0.6606,0.6889,0.8802
3,0.912294,0.6317,0.591,0.6008,0.622,0.6397,0.6138,0.6434,0.6376,0.6579,0.6534,0.6807,0.7209,0.7325,0.7474,0.9663
4,0.959564,0.6725,0.6239,0.6403,0.6647,0.6781,0.6631,0.6974,0.6969,0.7185,0.7137,0.7343,0.771,0.7903,0.8057,0.9864
5,0.979263,0.7076,0.6675,0.6752,0.7075,0.7122,0.7058,0.7333,0.7342,0.7544,0.7602,0.7747,0.804,0.8181,0.8392,0.9901
6,0.984209,0.731,0.6873,0.7061,0.7263,0.7351,0.7185,0.7574,0.7497,0.7794,0.7678,0.7932,0.8192,0.8316,0.8587,0.9898
7,0.987387,0.7411,0.705,0.7211,0.7479,0.7489,0.7386,0.7711,0.7665,0.7827,0.7735,0.8047,0.8257,0.8403,0.8638,0.9901
8,0.989094,0.7498,0.7282,0.7353,0.7651,0.7655,0.7509,0.7833,0.7761,0.793,0.7833,0.8119,0.8282,0.8374,0.8636,0.9907
9,0.989745,0.7612,0.7329,0.7504,0.7737,0.7776,0.762,0.7903,0.7782,0.7939,0.7874,0.8099,0.8251,0.847,0.8706,0.9897
10,0.989756,0.7677,0.7368,0.7563,0.7774,0.7765,0.7642,0.7936,0.782,0.7936,0.7893,0.8141,0.8295,0.8489,0.8715,0.9881
11,0.989605,0.7739,0.7443,0.7577,0.7788,0.7804,0.7687,0.792,0.7874,0.8006,0.7926,0.8215,0.8193,0.8576,0.8704,0.9874
12,0.990794,0.7726,0.7561,0.7615,0.7868,0.788,0.769,0.798,0.7894,0.7942,0.7922,0.8247,0.8208,0.8576,0.8682,0.9894
13,0.991447,0.7761,0.7601,0.7717,0.7815,0.7841,0.7747,0.7972,0.7974,0.7978,0.7978,0.8251,0.8306,0.8472,0.8719,0.9897
14,0.991134,0.7751,0.7588,0.7742,0.7807,0.7875,0.7695,0.806,0.7964,0.7996,0.8004,0.8247,0.8278,0.8516,0.8797,0.9913
15,0.991714,0.7814,0.7606,0.7772,0.7864,0.7883,0.7799,0.8057,0.793,0.7962,0.801,0.8303,0.8305,0.8553,0.8844,0.9909
16,0.991045,0.7801,0.7614,0.7839,0.7827,0.7874,0.7835,0.8013,0.7977,0.8096,0.8006,0.8292,0.8307,0.8532,0.8798,0.9886
17,0.99172,0.7798,0.7661,0.7839,0.7946,0.7855,0.7794,0.8076,0.7966,0.8078,0.8019,0.8353,0.8367,0.8452,0.8772,0.9897
18,0.991329,0.7921,0.7705,0.7844,0.7929,0.7895,0.7796,0.7982,0.7961,0.8082,0.8097,0.8216,0.8343,0.8487,0.8794,0.9898
19,0.990969,0.7867,0.7752,0.7943,0.7828,0.786,0.7842,0.8025,0.7941,0.8114,0.8132,0.8333,0.8351,0.8509,0.881,0.9887
20,0.992296,0.7855,0.7753,0.788,0.7849,0.7969,0.7855,0.8016,0.7913,0.8123,0.8111,0.8324,0.8344,0.8478,0.8783,0.9915
21,0.992313,0.781,0.7754,0.7904,0.7895,0.7993,0.7836,0.8044,0.7922,0.8107,0.8147,0.8327,0.8416,0.8457,0.8774,0.9895
22,0.992947,0.7894,0.7745,0.7941,0.7941,0.7979,0.7861,0.8064,0.7965,0.8123,0.8124,0.8332,0.8427,0.8478,0.8806,0.9914
23,0.992456,0.7841,0.7787,0.7864,0.7908,0.801,0.7806,0.807,0.7983,0.8142,0.814,0.8291,0.8455,0.8437,0.8804,0.9898
24,0.992299,0.7803,0.7787,0.789,0.7914,0.792,0.7902,0.8024,0.802,0.8129,0.8151,0.824,0.8437,0.8431,0.883,0.9893
25,0.992959,0.7843,0.7813,0.7923,0.7914,0.7898,0.7934,0.8053,0.8015,0.8112,0.8135,0.8277,0.846,0.8403,0.8854,0.9903
26,0.992741,0.7855,0.7849,0.7922,0.7908,0.7913,0.7934,0.8077,0.8077,0.8092,0.8095,0.8188,0.8432,0.8413,0.8844,0.9912
27,0.993053,0.7877,0.7842,0.7948,0.7919,0.7929,0.7945,0.8127,0.8038,0.8121,0.8095,0.8277,0.8405,0.8462,0.885,0.991
28,0.992222,0.7845,0.7863,0.791,0.7921,0.796,0.7931,0.8085,0.8045,0.8097,0.8095,0.8233,0.8402,0.8505,0.8884,0.9898
29,0.992632,0.797,0.7787,0.7983,0.7961,0.7985,0.7894,0.8102,0.8053,0.8096,0.8146,0.8218,0.8373,0.8457,0.8923,0.9898
